"V1"	"V2"
"1"	-0.095	-0.142
"2"	-0.138	0.025
"3"	0.702	0.56
"4"	-0.026	-0.159
"5"	0.578	0.442
"6"	0.389	0.334
"7"	0.76	0.688
"8"	0.398	0.358
"9"	0.558	0.456
"10"	0.265	0.228
"11"	0.394	0.331
"12"	0.579	0.391
"13"	0.284	0.059
"14"	-0.1	-0.173
"15"	0.144	0.496
"16"	0.754	0.564
"17"	0.697	0.526
"18"	0.152	0.054
"19"	0.398	0.63
"20"	-0.092	0.112
"21"	0.327	0.275
"22"	0.701	0.635
"23"	0.025	0.123
"24"	0.795	0.732
"25"	-0.091	0.039
"26"	0.228	0.035
"27"	0.271	0.241
"28"	-0.027	0.109
"29"	0.371	0.344
"30"	0.655	0.531
"31"	0.327	0.341
"32"	0.285	0.449
"33"	0.093	0.203
"34"	0.48	0.445
"35"	0.67	0.608
"36"	-0.113	-0.508
"37"	0.377	0.487
"38"	-0.375	-0.444
"39"	-0.184	-0.229
"40"	0.48	0.348
"41"	0.673	0.51
"42"	0.318	0.288
"43"	-0.223	-0.209
"44"	0.164	-0.026
"45"	0.816	0.811
"46"	0.49	0.255
"47"	-0.506	-0.449
"48"	-0.054	-0.081
"49"	0.585	0.581
"50"	-0.002	-0.086
"51"	-0.031	-0.05
"52"	0.409	0.27
"53"	0.367	0.256
"54"	0.078	-0.007
"55"	0.101	-0.115
"56"	0.283	0.258
"57"	0.198	-0.096
"58"	0.571	0.507
"59"	0.138	-0.053
"60"	0.523	0.419
"61"	0.409	0.247
"62"	0.312	0.237
"63"	0.805	0.649
"64"	0.68	0.489
"65"	0.176	0.145
"66"	0.693	0.235
"67"	0.253	0.559
"68"	0.513	0.318
"69"	-0.036	-0.016
"70"	-0.214	-0.017
"71"	0.123	0.172
"72"	0.104	0.058
"73"	0.693	0.256
"74"	0.107	0.019
"75"	0.681	0.461
"76"	0.318	0.266
"77"	0.207	0.111
"78"	0.355	0.283
"79"	0.376	0.331
"80"	0.687	0.521
"81"	0.59	0.58
"82"	0.16	0.24
"83"	0.006	-0.206
"84"	-0.004	0.19
"85"	0.276	-0.147
"86"	0.512	0.564
"87"	-0.093	-0.024
